binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,multicollinearity 3,random choice 2,informative_2,correlated w target 2,uniform corr 1,pd qcut1,target,correlated w target 1,pd qcut3,outliers 2,multicollinearity 1,random choice 7,duplicate_2,duplicate_1,random label num 14,uniform corr 2,multicollinearity 2,outliers 1,multicollinearity 4,corr_feature_class,informative_1,class,scaling_combined,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2,random choice 4_North,random choice 4_South,random choice 4_West,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4,random label num 3_label num lo 2,random label num 3_label num lo 3
,0.0019801980198019802,0.5128712871287129,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.37524752475247525,0.0019801980198019802,0.01782178217821782,32951.0,0.606995029454576,0,-0.6638599972813359,1.00852717067184,,1,-0.9042236742875388,,0.17425742574257425,0.6985920023907539,-1.3953362477421585,0.10693069306930693,-0.6638599972813359,-0.9991017824896424,0.08811881188118811,0.3369777324951754,-1.030274084332509,0.7681451999707188,0.3715353653379301,3.184216898512261,-0.9991017824896424,1,54337.155261239976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,0.005940594059405941,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.053465346534653464,0.0019801980198019802,0.0019801980198019802,0.1712871287128713,,0.3962039874497499,0,1.153596854135379,6.1548791801174,0.5666519410226449,0,2.324369783092482,,0.18118811881188118,1.511143955097168,-0.0480988506656695,0.3207920792079208,1.153596854135379,1.2466861830450993,0.06732673267326733,0.8329432588918875,,0.2740479883121423,0.1958919666873319,,1.2466861830450993,1,43254.28061334038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.31386138613861386,0.5128712871287129,0.0019801980198019802,0.0019801980198019802,0.053465346534653464,0.37524752475247525,0.0019801980198019802,0.020792079207920793,3222.0,,0,0.8593974662590766,,,0,1.7782165547025084,-4.012952163089721,0.18118811881188118,-0.0037711540178611,1.462379205274968,0.1099009900990099,0.8593974662590766,0.9627768269601936,0.07128712871287128,0.6857519477767559,0.8445245888153506,0.1880392394849782,-0.2399628244142728,,0.9627768269601936,1,42829.696547790605,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.31386138613861386,0.5128712871287129,0.20396039603960395,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.015841584158415842,,-0.1916195552243806,1,2.0336452879154674,2.6557750120408743,0.6144278646345842,0,5.451234575139656,0.8616988538123884,0.2851485148514851,4.458769376590668,0.3729493344692855,0.3207920792079208,2.0336452879154674,-2.957440950943304,0.06435643564356436,0.7771351263812856,0.1741213938544182,1.78484728504141,-0.7701385423906544,4.950943099759568,-2.957440950943304,1,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0049504950495049506,0.0029702970297029703,0.0019801980198019802,0.10198019801980197,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.02178217821782178,83537.0,-0.2701349279056891,0,1.05944863351561,1.820966362306164,0.9015642220507458,0,2.1539258469951807,0.0020234634105613,0.18118811881188118,1.5543439865096071,-0.5688298233262475,0.3207920792079208,1.05944863351561,1.1411652716579703,0.07920792079207921,0.9929476701652304,,0.8468015736171917,0.9680971071497966,2.071836969604475,1.1411652716579703,1,64720.43144674623,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0029702970297029703,0.009900990099009901,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.37524752475247525,0.0019801980198019802,0.016831683168316833,21519.0,,0,2.399635889224372,4.795678445663437,,0,4.626787069235546,5.39917997462201,0.2851485148514851,-0.1712023172976762,-0.4334810635898724,0.11287128712871287,2.399635889224372,2.485477863898728,0.08811881188118811,0.8123423951363746,,0.1227513976128266,-0.4084962538070139,4.172686501946801,2.485477863898728,1,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0019801980198019802,0.5128712871287129,0.20396039603960395,0.10198019801980197,0.0019801980198019802,0.0019801980198019802,0.15247524752475247,0.016831683168316833,13923.0,-0.8821080758308845,0,-0.747560845179044,-1.7416558875561845,0.2490067169924612,1,-1.187224231921867,,0.18118811881188118,6.777706574517674,0.5644484851999076,0.10693069306930693,-0.747560845179044,-0.6479636736717482,0.07821782178217822,0.1963394237718236,0.7665365293138416,-1.8061839173105012,-0.6485753437549083,,-0.6479636736717482,0,40802.610016423765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,0.007920792079207921,0.5128712871287129,0.20396039603960395,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.01485148514851485,92251.0,,1,-0.8182224427035356,4.65947801263552,0.56494474006856,1,-1.266374292198878,2.883885476640017,0.18118811881188118,3.0824572977024154,-1.129819228416365,0.12079207920792079,-0.8182224427035356,-0.8922328125534437,0.08811881188118811,0.4123659778737352,,-1.0103458500795397,0.2022049850832663,-0.6255174053683143,-0.8922328125534437,0,45559.149086404956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.31386138613861386,0.5128712871287129,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.37524752475247525,0.15247524752475247,0.1712871287128713,,,0,-0.0915466678066115,0.7132550943624176,0.5484928582880628,0,0.2411105626158083,1.3343558798996242,0.2851485148514851,2.3842695918252503,-0.9786243773031532,0.10693069306930693,-0.0915466678066115,-0.7273359834485558,0.06732673267326733,0.7439870422721471,,-0.3033320254208096,0.4770056160261006,,-0.7273359834485558,0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,0.005940594059405941,0.0049504950495049506,0.20396039603960395,0.0019801980198019802,0.053465346534653464,0.37524752475247525,0.0019801980198019802,0.026732673267326732,50259.0,0.2599048026519976,1,-1.8069333466532715,-3.9893562485607914,0.0227271097187835,1,-3.935564389564147,-4.947409640050364,0.2851485148514851,2.5168728506934976,-1.2154789361938705,0.3207920792079208,-1.8069333466532715,0.9753643211025784,0.061386138613861385,0.128407101553183,-1.242350035664951,-3.5248485676034904,-0.6816040332060231,-13.169187786705464,0.9753643211025784,0,66691.3115192107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
